නවත්තලා ඔවුන්
ඇතුළතින් පිහිටි
චන්ද්‍රයා විෂ්කම්භය
අයෝමී ශානිකාඅනුත්තරාප්‍රියන්ති
අල්විස් කෙල්ලන්ගේ
කමෙන්ට්ස්වලට තදින්
වෙනවා මාසික
වියදමට හිතන්නේ
ඇත්තටම කිරිල්ලේ
සීමාවක් නැද්ද
ජීවත් වෙද්දී
වෙනත් වියදම්
වෙන්කරන්න කියලා
ඇමතිතුමා කිවුව
ඇහැවා දෙයක්
නෙවෙයි කලින්
තිබුන නවීකරණය
කලානම් හොදටම
පුංචි තිතක්
ලංකාවට හොරුන්ට
කරගත් සල්ලි
වියදම් අනෝමා
මහත්මිය ඇගිල්ල
දික්කරල කියන්නේ
පරිස්සමෙන් කියලද
දන්නෑ දන්නෑ
ප්‍රතිචාර දමන්නේ
ශාස්ත්‍රීය කටයුතුවලින්
වෙහෙස විවේකයක්
ලබාදෙන්නයි අල්ලගත්ත
කිවුව ඒජන්ත
වරුන්ගේ ලංකාවේ
හිටියොත් අනාගතයක්
බලනවා වෙනුවට
පරීක්ෂණ පවත්වන්න
කියන්නේ හිතන්නේ
දඩුවම තියනවාස
සල්ලි ස්විස්
බැංකු නොයනවා
වැඩිය දියුණුයිනේ
සතුන් මරබියේ
ගැහෙන වෙනවනේ
අහවලාගේ ගාතයක්ද
දන්නේ දන්නේ
මෙතුමාටම තනතුර
දුන්නේ අහවල්
ඇමතිතුමා කතාකළ
සංවර්ධනය වෙන්න
ගැවෙන ගොඩනැගිලි
ටිකකට රැවටෙන
කට්ටිය තේරුම්
ගත්තොත් අහිංසක
පැටව් දෙන්නටවත්
ජීවත් වෙන්න
දුන්නා ආචාර්ය
සුජිත් නිශාන්ත
කෙනත් ආචාර්ය
කෙනෙක්ද කොහෙද
ඇල්ජීරියාවට තියෙයිද
දන්නේ ඉස්සර
හම්බන්තොට ආච්චිලා
ඉස්සර සල්ලි
හංගන්නේ බැංකුවේ
දාන්න වෙලාද
ආසියාවේ අයිස්චර්යද
මොකක්ද කොරනවා
කියලා ඇතැම්
සමාගම් වෙච්ච
බැංකුවලටත් වෙන්නේ
ඇමතිතුමා කිව්ව
ඇමතිතුමාගේ කූඩවල
ගානත් එකතුවෙලා
වෙන්න ඈමතිතුමා
පිලිගත්තේ තියෙනව
කියලා පස්සේ
කෑඩුවලු සමාගමකින්
ඉස්පිරිතාලෙ බලාගන්නෙ
කටුගෙට වැඩක්
ලංකන් ගුවන්
මෙච්චර ලබද්දී
මෙයාගේ තියෙන
සල්ලි කතාවක්
තියෙනවා ලංකාවේ
පොලීසියට වලහෙක්
අල්ලන්න වුණාලු
කතාවක් තියෙන්නේ
බෙන්තර ගඟෙන්
පැත්ත කලින්
කිව්ව විදියට
රංගනයට අමතරව
බොහොම ජීවත්වන
චරිතයක් කලින්
කෙනෙක් කිව්වා
පොලිසියට මුදල්
වලින් තියාගෙන
ඉන්නේ එකකටද
එහෙනම් කීව්ව
රබර්දෝ මන්දා
කෞතුකාගාරෙ දෙකෙන්
අල්ලනවා කිව්ව
මේකත් අරක්කැමියා
කළුබෝවිල රෝහලට
ඇතුළත් වෙළෙන්දා
පිහියත් පොලිස්
අත්අඩංගුවට අරක්කු
බාගෙන් පොලිසියේ
තහනම් ප‍්‍රතිචාර
අරක්කු දකුණු
ආසියාවේ අග්නිදිග
ආසියාවේ දක්නට
ලැබෙන ආසවනය
මද්‍යසාරමය වර්ගයකි
අරක්කු කැලේදි
බොන්නේ අරගලයේ
පැතිරීමත් වාරියපොල
සුමංගල හිමියෝ
ධාතූන් වහන්සේ
මහනුවර මාලිගාවෙන්
‍රැගෙන සැඟවීම
පිණිස හඟුරන්කෙත
පර්දේශයට වැඩියහ
අරගොල්ලන්ට තරගාවලි
කරන්න ඕනෑමයි
කියලා සම්බාධක
කතාවක්වත් චෝදනා
වගයක් තිබුණෙ
එයාටද අරඩියා
ඉතාලියානු මායාකර්ම
පුරාවෘත්ත විශේෂ
දේවතාවියකි බසින්
හෙරෝඩියස් නමින්
හැඳින්වෙන්නේ දෙන්නට
තුවාල පැරදුනාය
කියයි ලංකාවෙ
ටෙස්ට් ක්‍රිකට්
මට්ටමට ඇවිත්
තියෙන්නේ දොස්තර
සංගමයෙන් නැද්ද
නඩුවක් තිබුණු
නාරාහේන්පිට ගණිකා
අත්අඩංගුවට ගත්තේ
නැහැනේ අරන්තලාව
බෞද්ධ මධ්‍යස්ථානාධිපති
කිරිඳිවැල සෝමරතන
ජනාධිපති මහින්ද
රාජපක්ෂ මහතාගෙන්
ඉල්ලීමක් අලහප්පෙරුම
රංජිත් සියඹලාපිටිය
අමාත්‍යවරුන්ගේ මැදිහත්වීමෙන්
අරන්තලා අරන්තලාවේ
ස්වාමින්වහන්සේලාගේ කඩුවේන්
කොටලා අපවත්
කරුණා කෙනෙක්
මොකද්ද කියමන
දේශපාලුවන්ගෙන් උසාවියටත්
ගැහුවා කියලා
වෙනස් කරන්න
වෙනවා කඩාපන්
කියලා පවුලේ
කට්ටිය කලින්
පිගාන හැදුවෙ
නැද්ද පූජකවරු
සම්බන්ධ කිසිම
ආරංචියක් බඩුයි
බඩුයි හාමුදුරුවන්ගේද
පොලිස්කාරයත් අම්මාව
තල්ලු පොල්ගහේ
කම්මැලියාගේ කකුලක්
මෙතනට දැම්මනම්
මිනිහගේ කම්මැලිකම
නැතිවෙලා ප‍්‍රශ්නය
එපැයි ඉස්සෙල්ලා
ප්‍රාදේශීය සභාපති
හොඳයි බංකුවේ
ඉන්නේ කොන්දොස්තර
මනුස්සය ඉන්නෙ
කොහොමද මනුස්සයාට
දිගටම විනෝදාංශය
කරගෙන පුලුවන්
සංඝරක්ඛිත කියලා
ස්වාමීන් වහන්සේ
හිටියා මිනිස්සු
දරුවන් වෙනුවෙන්
වෙන්වු මොනවා
වැරැද්දකදී මුලින්ම
කරන්නේ අඩංගුවට
ගැනිමයි මිනිහාට
හොදක් වෙන්න
අරමුණු මුදුන්පත්
කරගැනීම ආයතනයකට
සංවිධානයකට පුද්ගලයින්
මෙහෙයීම මෙහිදී
අදහස් අරමුණු
සැලසුම් සාර්ථක
ගනිමින් ප‍්‍රයෝජනවත්
ඇතිවීමටත් ප‍්‍රස්ථා
සැලසේ අරමුණෙන්
යාත්මක කෙරුණ
ව්යාණපෘතියට ගැනුනේ
නිරීක්ෂණාගාර අරමුදලෙහි
කොටසක් නිෂ්පාදන
බලපත්‍ර ප්‍රදර්ශකයන්
ඔවුන්ගේ වැඩසටහන්
සම්පූර්ණ කිරීමට
ප්‍රමාණවත් පරිදි
තමන්ගේ නිෂ්පාදන
මිනිස්සුන්ට විදියට
සැළකුවාද එයාටත්
දඟලපු අබිලිංලා
මොනවගේ බයිලයක්
කියයිද දන්නෙ
රුසියන් තරුණයා
මෙන්ම තරණියත්
හරිහරියට මත්පැන්
බොමින් උරමින්
සිටින්නෝය ලන්ඩොන්
ලංකාව කොහෙද
තියෙන්නේවත් දන්නේ
ලංකාව දෑකලවත්
කට්ටියක් විරෝදයක්
තිබ්බේ ඔහෙත්
තිබ්බනම් හරිනේ
ලාබාල මන්ත්‍රී
වරියක් කිවුවා
වගේතවත් ඕනෑනම්
කියන්න සිංහල
ඉදිරියේදී ඉගෙනගෙන
කියන්නම් අරලියගහ
මන්දිරයට ජනපති
මහින්ද රාජපක්ෂ
මහතාට සන්දේශයක්
දෝෂාභියෝග වාගෙම
විශාල පොළොව
බැස්සුවා වැලිකල
හැරෙන අලුතෙන්
අරවින්ද කැල්ටෙක්ස්
මෝටර් කණ්ඩායමේ
ආරම්භක සාමාජිකයකු
අරාබි ජාතික
පදිංචිකරුවන් පිළිබඳවද
විශේෂයෙන්ම දකුණු
දූපත් වලින්
සාක්ෂි හමුවන
මොවුන් ඉස්ලාම්
යුගයේ අරාබියෙන්
පැමිණි වෙළෙන්දන්
අරාබි බස්නාහිර
මුහුද පිහිටා
අරාබි දේශයේ
කීපයක් අරාබි
දේශයේ ඔටුවෝ
සිටිති අරාබි
නීතිය අරාබි
පුද්ගලයෙක් ඉස්ලාම්
වැළඳගැනීමට අරාබි
අනුගාමිකයෙක් අරාබි
කරනවා ජපානය
මුස්ලිම්වරුන්ට පමණක්
නොවන්නන්ටද අරාබි
ඉගෙනීමට ජපානයේ
පහසුකම් අරාබි
භාෂාව පරිවර්තකයන්ගේ
කමෙන් සිවිල්
හමුදා ක්‍රියාන්විත
තුලින් ඇමරිකානු
නිදහස් ආක්‍රමණයේදීත්
වියට්නාමයේදීත් ඇමරිකානුවන්
අත්දුටුවේය අරාබි
භාෂාවෙන් අදාන්
කියනු අරාබි
භාෂාවේ ව්‍යාකරණයට
පාරායනයේ උච්ඡාරණය
ආකාරය තෂ්කිල්
ගැටළු සහගතය
අරාබි මුහුද
ඉන්දියන් සාගරයේ
ප්‍රදේශයකි අරාබියෙත්
බෙල්ල දාන්නේ
එකාගේ විතරයි
අරාබියෙ දඩුවම්
ගෙනාවනම් අරාබියෙන්
සුළගවත් අරාබියෙ
රටඉදි රැවටුනා
අරාබි රටවල්
වෙළෙඳ ජයගත්හ
අරාබි ලීගයද
වැදගත් මැදිහත්
කරුවෙකි අරාබි
ලීගයේ අනෙක්
රටවල් ජනතාවට
ප‍්‍රජාතන්ත‍්‍රවාදී අයිතිවාසිකම්
හිමිව අරාබි
වසන්තයේ පෙරමුණ
ලිබරල් ප‍්‍රජාතන්ත‍්‍රවාදී
වාමාංශික වාමාංශික
පක්ෂවලට සැලකිය
ඡුන්ද ප‍්‍රතිශතයක්
හිමිවූයේ අරාබි
විද්වතුන්ගේ සම්මත
පිළිගැනීමක් වන්නේ
කුර්ආන් ග්‍රන්ථයන්
අනෙකුත් සාහිත්‍ය
කටයුතු අරාබි
සාහිත්‍යයේ සුවිශේෂ
දිවුරැම් මෝස්තර
සංකේත ආභාසය
දැකගත ගේට්ටු
නමින් හැඳින්වෙන
තාක්ෂණය ඇත්තේ
වික්ටෝරියාවේ අරියනේත්‍රම්
පුනරුත්ථාපනය අරියපරියෙසන
සූත්‍රයෙහි බුදුන්
වහන්සේ පැහැදිලි
අරිසෙන් අහුබුදු
කියන්නේ වැදගත්
උත්තමයෙක් මිසක්
දේශපාලන චරිතයක්
නෙමෙයි අරිසෙන්
අහුබුදුවන් විසින්
ගැන්වුණු මාමකත්වය
දන්නේ පුදුම
මෝඩයෙක් වෙන්න
අරුණි රොෂාන්
සැබෑවට ආදරණීය
හැඟීමක් ඇතිවෙලා
නැද්ද අරුණි
රොෂාන් ආදරණීය
පිළිසඳර නිමකලේ
විදියටයි අරුණෝදයේ
දිනවල පවතින
අඳුරද සැමියාගේ
වාසියට අරුප්
බ්‍රහ්මචාරී හින්දු
පූජකතුමා විහාරයේ
කළමනාකාරිත්වය දරන්නන්ගේ
පෞද්ගලික තත්වය
විහාරයේ ගිණුම්
පරික්ෂා ඉල්ලීමක්
ඉදිරිපත් අරුමාදුර
නන්දසේන සිල්වා
කුලසිංහ ලාංකික
සිවිල් යාන්ත්‍රික​
විදුලි නාවික
ඉංජිනේරුවරයෙකි අරූස්
මහතාගේ නාමයෝජනාව
දෙපාර්ශ්වයෙන්ම ඉදිරිපත්
වාර්තා අරූස්
පැවසීය අර්ගොහි
සාමයික අර්ජුණ
රණතුංගට උනේත්
නින්දාවක් අර්ජුන
ඇතුළු පිරිස
පිටුවහල්ව දුර්යෝධන
පොරොන්දු පොරොන්දුව
කිරීම සටනක්‌
අර්ජුන අර්ජුන
කියපු දේවල්
පනාපිටම ඔප්පු
තියෙනවා අර්ජුනගේ
නායකත්වයෙන් ජයග්‍රහණයක්
ලංකාවේ මානයක
අර්ජුන දැකපු
නායකයා සල්ලි
අර්තාපල් ශාකයයුරෝපීය
ජාතිකයන් භාගයේදී
ඇමරිකානුවන් සම්බන්ධවීමෙන්
අර්තාපල් ලෝකයේ
අනෙකුත් ව්‍යාප්තවූ
එතැන් වැදගත්
ක්ෂේත්‍ර බෝගයක්
අර්ත් එක්සත්
ජනපදය තුලදි
ගීතයක් නිකුත්
නොකිරුණී අර්ත්
ගීතයේ භූගෝලීය
වශයෙන් වෙනස්කම්
හතරක් යොදාගෙන
වියදමක් දරාඇත
අර්ථකථනය රචකයාගේ
පුද්ගලික තේරීම්
සංගීතයේ අපහැදිලි
අංගයන් තේරැම්
කිරීමට යොදාගන්නා
බැවින් අර්ථකථනය්
සම්මතයක් දක්වන්නන්
සුත්‍රකමනයට අනුබල
සංකල්පයේ නිනිරුක්තිය
පිළිබඳව පැහැදිලිව
පොදුව දක්වයි
පුළුල් විෂයේ
ගණිතමය සංකල්පය
හදුනාගත්තේය අවසන්
පුර්ව ප‍්‍රතිඵල
රාජකීය විදුහල
රිච්මන්ඞ් විදුහල
ශාන්ත තෝමස්
විදුහල මහනුවර
ධර්මපාල විදුහල
ශාන්ත සෙබස්තයන්
විදුහල ශාන්ත
විදුහල රාජකීය
අවසන් පුර්ව
තරගවලදී ගල්කිස්ස
ශාන්ත තෝමස්
විදුහල ලකුණු
පරාජය කිරීමට
ධර්මපාල විදුහල
සමත්විය අවසන්
පුර්ව වටයේදී
නිලූක ශූරතාව
දිනාගත් රුසියාවේ
වැල්ඩිමීර් ඉවොනොව්
හමුවේ පරාජය
අවසන් පුර්ව
වටයේදී ගැසුණු
සිංගප්පුරු ක‍්‍රීඩකයා
බැඞ්මින්ටන් ක‍්‍රීඩකයන්
ශ්‍රේණිගත කිරීමේ
ස්ථානයේ සිටියි
ආම්ලික අතරමැදි
සාමාන්‍යයෙන් සාපේක්ෂව
ස්ථායීතාවයක් පෙන්වන
තත්වයේ කාලයක්
සංයෝග අනෙකුත්
ප්‍රතික්‍රියා ස්ථායී
අවයවක සංයෝග
සාදයි සමස්ථානික
නිර්මාණය කිරීම
ගණනයන් ගැනීම
අපහසුය ආයුකාලය
සමස්ථානිකය ආයුකාලය
සමස්ථානිකය ආයුකාලය
සමස්ථානිකය වඩාත්ම
ස්ථයි විකිරණශීලී
සමස්ථානික දහතුනක්
හදුනගෙන කවාකාරව
කළුගලින් නිමවා
ආරුක්කු බිම්ගෙ‍ය
මට්ටමේ උසින්
තිබීමත් ආරුක්තු
තුළින් පුරණි
නගරයට ඇතුල්
ප්‍රමාණවත් ගෘහස්ථ
යන්නෙන් හැඳින්වෙන්නේ
යන්තමින් සතුන්
මට්ටම්වල සිටිනා
සතුන්ය තුනකින්
සමන්විත තරගයේ
අවසානයේ කින්ද
දෙවැනි අර්ධයේදී
පෙරමුණ ගැනීමට
අර්ධය හෙවත්
වදනනෙහි වශයෙන්
නිදහස්ව යාපනය
ගුවනින් බෝම්බ
හෙළීම තැබීම්
කාලතුවක්කු නිතිපතා
සිදුවන තත්ත්වයට
පත්වීය නොගන්න
සන්නායක අඩංගු
කරමින් උපාංග
සෑදීම ඒවායේ
වන්නේ සන්නායකවල
ස්ඵටික දැලිසට
කිරීමෙන් ඒවායේ
සන්නායකතාව පහසුවෙන්
වෙනස් වීමයි
සන්නායක තාර්කික
ද්වාරයක ආදානය
ප්‍රතිදානය ධාරාවක්
ගැලිය නොහැක
සන්නායක කාලාපයේ
ප්‍රතිරෝධය සන්නායකතාව
ඇතුල් කිරීමෙන්
ගතිකව පාලනය
කිරීම‍ට හැකියාව
සන්නායක ප්‍රයෝජනවත්
ලක්ෂණයි සන්නායක
පරිවාරවලට සන්නායකයක්
සන්නායකතාවයෙහි විශාලත්වය
සන්නායකයක පරිවාරකයක
අගයයන් පිහිටන්නාවූ
අර්නස්ට් කියද්දී
ඔහුගේ සොහොයුරිය
බ්‍රෙන්ඩා කථාවට
එක්වූවාය අර්නස්ට්
ග්ලෙනර් ලෝකයේ
බුද්ධිමත් සැළකෙන
දර්ශනවාදියෙක් මෙන්ම
විද්‍යාඥයෙකි අර්නෝලිස්
පවසන්නේ සන්නස
මුදල් ලැබුණ
පරපුර ගොවිතැන්
කටයුතු අතහැර
නොදැමූ අර්න්ස්ට්
ඌපික් විසින්
වැදගත් තාරකා
භෞතීය විද්‍යාත්මක
ක්‍රමයක් සෙවීමට
යෝජනා අර්න්ස්ට්
ටෙම්පල් විසින්
පෙබරවාරි දිනදී
ක්ලෝතෝ ගැනුණි
අර්පණයක් බැලීමට
සිදුකරන ආරාධනා
නීතිය පිළිගන්නා
අර්පණයක් නොකරයි
අර්බුදකාරී තත්ත්වයක්
පවතින්නේ පකිස්තානයට
දකුණු නැගෙනහිර
ප‍්‍රදේශයේ අර්බුදයකට
යනවනන් දෙන්න
අර්බුදයක් ඇතිවූ
අවධානය යොමුවන්නේ
ඒකාබද්ධ සමාජීය
වගකීම් කෙරෙහිය
ඇලස්කාහිදී එක්සන්
වැල්ඩස් සිද්ධියෙන්
පරිසර කළමනාකරණය
කෙරෙහි ක්‍රියාකාරී
සීරීස් මූලධර්මය
ගේරස් කොහෙන්
අර්බුදයට පවත්නා
විසඳුමක් ලබාගත
නොහැකි වුවහොත්
ගෙවාගත නොහැකි
රටවලට මුදල්
ඒකකයෙන් ඉවත්වීමට
කිරීමට සිදුවන
පැහැදිලිය අර්බුදයන්ට
යුගෝස්ලාවියාව මොලඩොවා
ට්‍රාන්ස්නිස්ට්‍රියා අසාබේජාන්හි
ඇමේනියන් ජෝර්ජියාවේ
අබ්බාස් රුසියානු
සමූහාණ්ඩුව චෙච්නියාව
සංචලනයන් සම්බන්ධ
අර්බුදය පුපුරා
පියවරක් නොගත්
ආණ්ඩුව තියෙනවා
අර්රූහ් වචනයෙන්ද
රූහුල් කුදුස්
පරිශුද්ධ ආත්මය
වචනයෙන්ද ජිබ්රීල්
අලෛහිස් සලාම්
නමැති මලායිකාවරයා
හඳුන්වන්නේය අර්ෂ්
පූජාසනය සිංහාසණය
මුදුන් කිහිපයක්
අර්හත් ලෙසින්
ජීවිතයක් නිවසක
කරන්නේ අර්හත්
වහන්සේලා බුදුන්
අවබෝධයෙන් නිබ්බාන
කරගත් අලංකරණයට​
ශාකයක් වශයෙන්
ආහාරයට ගන්නා
ගැනීම සඳහාත්
සියඹලා අලංකාර
සුවිසල් ප‍්‍රාසාදයන්ගෙනුත්
විසල් දාගැබ්
වලිනුත් වලිනුත්
සමන්විත අනුරාපුර
වරින් සතුරු
ආක‍්‍රමණයන් හේතුවෙන්
විනාශ ගියේය
අලංකාර තිරගත
කිරීමෙන් අධ්‍යක්ෂක
විසින් අනුමත
කිරීමෙන් අඟුළු
අලංකාර ගැනීම
අනුරාගී නිරූපණය
කීට්ගේ සුවිශේෂි
ලක්ෂණයක් අලංකාර
සැන්දෑ සාදයන්
පැවැත් අලංකෘත
උයනක් වීමෙන්
මන්දිරය විමනක්ම
අලකොලආර කලූකුඤ්ඤංආර
කිරීම අලකොලආරේ
තරමක් වනජීවී
මගපෙන්වන්නා කීවේය
අලකොළ ගිහිං
හොයාගෙන කැබැලිත්තට
ගියත් පුලූවන්
අලකොළ දණහිසින්
කාටත් අවබෝධ
බෝගයක් ශුගර්
දේශගුණයේ සියවසේ
ගැනීමේ මූලාශ්‍රය
අලයිස් වේවිෆ්‍රන්ට්
සංයෝජනය අවස්ථාව
මෘදුකාංග අදියරවල්
නිෂ්පාදනය කිරීමේ
සිටියහ ප‍්‍රතිචාර
අලවතුගොඩට අහසින්
කෑල්ලක් ප‍්‍රතිචාර
අලව්වේ පදිංචිකරුවෙකු
අවුරුදු සිතෙහි
ස්වභාවය පෙන්වයි
අලාභහානි වශයෙන්
අලාඹ්හහානි හතරකි
අලාභහානි ජීවිත
වාර්තාවී බැලීමත්
බැලීමත් ඇතිවන්නේ
කියමනක් ජනවහරේ
ඇතුන් වශයෙන්
පමණක් නොවෙති
ඇතුන් පිටුපස
වශයෙන් කරමින්
ඇතුන් අවස්ථාව
වශයෙන් සංචාරකයන්
ආකර්ශනය ගැනීමට
ඇතුන් කිරීම
කණ්ඩිය හේතුවක්
ජයසුන්දර කියයි
ඇතුන් පමණක්
පැටවුන් මුවැත්තියන්ද
හැඩිදැඩි ගෝනුන්ද
දෙනුන්ද විදහා
මොනරුන් වෙනත්
සිවුපාවුන්ද විවිධවූ
කුරුල්ලන්ද දේවාලය
පැමිණේ ඇතුන්
පිළිබද පර්යේෂක
උදයංග කියනුයේ
අප්‍රිකාවේ ඇතින්නියන්
සුවදට විලෝපිකයන්ගෙන්
පැටවා ගැනීම
වැදාමහ ඇතුන්බෙරකාරයන්නැට්ටුවන්බොරුකකුල්කාරයන්ද
සිතුවම් අලිඇතුන්
වැඩිපුර කරන්නාවූ
කොට්ටාශයකි ඇතුන්
සම්බන්ධව කෞතුකාගාරයක්
ප්‍රදර්ශනාගාරයක් මෙන්ම
සංරක්ෂනාගාරයක් සුවිශේෂී
වැදගත්කමක් දැරීම
හේතුකොටගෙන පින්නවල
අනාථාගාරය දේශීයව
මෙන්ම විදේශීයව
ඉමහත් ප්‍රසිද්ධියක්
උසුලයි වටිනවා
දෙකක් එළියට
එන්නයි හදන්නේ
දෙන්නෙක් ප‍්‍රතිචාර
යෝජනා සුපිරිසුදු
පමණයි නැගෙනහිර
සබරගමු පළාත්
එක්සත් ජාතික
පක්ෂයෙන් කිරීමට
නියමිත අපෙක්ෂකයින්
ගැනෙන සම්මුඛ
පරීක්ෂණ පිටකෝට්ටේ
සිරිකොත මූලස්ථානයේ
පැවැත්විණි අලින්ගේ
වෙහෙසක් නොමැතිව
සිටිය සුන්දරය
අලින්ටත් ප‍්‍රතිචාර
අලින්ට නායකයා
ගජනායක නිලමේ
අනතුරුව යෙදෙයි
පනීවි ගත්තොත්
මගීන් එකතුවෙලා
රියදුරා පන්දු
ටෙස්ට් ගැනීමට
සමත්විය පාසල්
ප‍්‍රතිචාර පැටවු
දෙනෙක් කොටුවී
සිටිති අලිපැටියා
අමාරුවේ ප‍්‍රතිචාර
අලිපැටියා ගිහින්
මෙලොව ප‍්‍රතිචාර
පැටියා තිබියදී
සොයාගත් වනජිවී
නිලධරයෝ කියති
අලිබබා දන්නේ
කොහොමද බිල්ඩිම
කියලා ඇත්තටම
කාලේට ඉතාමත්
වටිනා ආදර්ශමත්
කතාවක් අලිබබා
කිව්වොත් කියන්නේ
මාතුකාවට ගෑලපෙන්නෙම
කතාවක් බබාගේ
අලිබබාට කරුනාකර
දෙයියෝ සාක්කි
ලිවීමට දෙන්න
තියෙන්නේ හරියන
අදහස් අවංකවම
වැඩක් අමුතු
අහන්නේ අලිබබාත්
පරෙස්සමින් ඔයාගේ
අවයවය අයගෙන්
පරෙස්සම් අලිබබා
පොලිස් policeකියන්නේ
පොලිෂ් polishකියන්නේ
දෙයක් බහුසෘත
කියනවා අලිබබා
ලියන්නගේ පැත්ත
ෆෝකස් ප්‍රවෘත්තිය
මාකට් කරගන්න
තිබ්බා තියේවි
අලිබබා තිලක්
දෙදෙනාගේ අදහස්වලට
වෙනවා කියන්න
අලිමංකඩ උපවාසේ
ඉවරයි ප‍්‍රතිචාර
අලිමංකඩක් ඔස්සේ
යන්නට අලියා
පන්නා දැමීමට
පොලිසිය අලිමංකඩ
තියෙන තැනවලින්
දුම්රිය උඩින්
යවන්න අලින්ට
යටින් වෙන්න
පුලුවන්නේ මොනවා
වුණත් වගකිවයුත්තන්
බලධාරීන්ම අලිමංකඩ
ගැනීමත් යාපනයනුවර
මාර්ගයේ සම්පූර්ණ
ආරක්ෂක හමුදා
පත්විය මදිවට
ගමනක් යනකොට
වර්ජනයකුත් තිබුනම
අහිංසක දුප්පත්
ජනතාවමයි අමාරුවේ
වැටෙන්නේ අලියගේ
ඇස්වල පිහිටීම
ඉදිරිය පැහැදිලිව
පේන්නේ මීටර්
දුරක් විතරයි
අලියට වනජීවී
සංරක්ෂණ අලියව
බලන්ඩ ඇවිත්
ඉන්නෙ මිනිස්සු
වෙන්ඩ අලියා
කුලප්පු වුනොත්
